cat,var,count,uniq_count
Apple juice,1,28,19
Apple juice,2,36,29
Apple juice,3,89,74
Apple juice,4,116,86
Apple juice,6,32,27
Apple juice,7,11,9
Apples,1,158,119
Apples,2,108,92
Apples,3,504,371
Apples,4,229,174
Apples,6,184,134
Apples,7,37,27
Baby food: cereals,3,1,1
Baby food: fruit,2,1,1
Baby food: snacks and sweets,6,1,1
Baby food: vegetable,1,1,1
Baby food: vegetable,3,1,1
Baby food: yogurt,2,1,1
Baby water,2,2,2
Baby water,4,1,1
Bacon,1,70,57
Bacon,2,41,35
Bacon,3,289,247
Bacon,4,330,262
Bacon,6,40,33
Bacon,7,28,24
Bagels and English muffins,1,15,14
Bagels and English muffins,2,50,41
Bagels and English muffins,3,248,202
Bagels and English muffins,4,94,76
Bagels and English muffins,6,69,56
Bagels and English muffins,7,18,15
Bananas,1,164,134
Bananas,2,204,151
Bananas,3,660,473
Bananas,4,354,248
Bananas,6,304,210
Bananas,7,50,35
"Beans, peas, legumes",1,264,187
"Beans, peas, legumes",2,207,158
"Beans, peas, legumes",3,344,287
"Beans, peas, legumes",4,193,167
"Beans, peas, legumes",6,159,108
"Beans, peas, legumes",7,29,22
"Beef, excludes ground",1,125,106
"Beef, excludes ground",2,127,107
"Beef, excludes ground",3,377,327
"Beef, excludes ground",4,257,221
"Beef, excludes ground",6,119,97
"Beef, excludes ground",7,30,25
Beer,1,105,85
Beer,2,81,64
Beer,3,499,316
Beer,4,294,207
Beer,6,110,84
Beer,7,29,19
Berries,1,42,30
Berries,2,56,46
Berries,3,398,272
Berries,4,105,75
Berries,6,117,82
Berries,7,16,15
"Biscuits, muffins, quick breads",1,32,28
"Biscuits, muffins, quick breads",2,60,50
"Biscuits, muffins, quick breads",3,381,306
"Biscuits, muffins, quick breads",4,346,280
"Biscuits, muffins, quick breads",6,67,58
"Biscuits, muffins, quick breads",7,28,25
Bottled water,1,796,335
Bottled water,2,652,261
Bottled water,3,1414,653
Bottled water,4,2036,788
Bottled water,6,680,294
Bottled water,7,150,78
Burgers (single code),1,46,45
Burgers (single code),2,31,28
Burgers (single code),3,174,150
Burgers (single code),4,198,177
Burgers (single code),6,21,18
Burgers (single code),7,17,16
Burritos and tacos,1,223,167
Burritos and tacos,2,52,39
Burritos and tacos,3,281,237
Burritos and tacos,4,89,74
Burritos and tacos,6,50,37
Burritos and tacos,7,32,28
Butter and animal fats,1,60,52
Butter and animal fats,2,111,84
Butter and animal fats,3,581,395
Butter and animal fats,4,222,168
Butter and animal fats,6,92,71
Butter and animal fats,7,42,27
Cakes and pies,1,77,70
Cakes and pies,2,120,104
Cakes and pies,3,472,397
Cakes and pies,4,353,282
Cakes and pies,6,120,90
Cakes and pies,7,50,41
Candy containing chocolate,1,82,67
Candy containing chocolate,2,53,49
Candy containing chocolate,3,578,417
Candy containing chocolate,4,276,231
Candy containing chocolate,6,146,115
Candy containing chocolate,7,38,27
Candy not containing chocolate,1,71,60
Candy not containing chocolate,2,69,59
Candy not containing chocolate,3,415,319
Candy not containing chocolate,4,339,262
Candy not containing chocolate,6,119,96
Candy not containing chocolate,7,36,27
Carrots,1,56,48
Carrots,2,52,45
Carrots,3,348,292
Carrots,4,164,136
Carrots,6,98,79
Carrots,7,22,19
Cereal bars,1,20,18
Cereal bars,2,32,22
Cereal bars,3,189,140
Cereal bars,4,105,79
Cereal bars,6,38,29
Cereal bars,7,15,15
Cheese,1,337,247
Cheese,2,406,261
Cheese,3,1708,1019
Cheese,4,802,537
Cheese,6,254,175
Cheese,7,104,69
"Chicken patties, nuggets and tenders",1,27,25
"Chicken patties, nuggets and tenders",2,33,32
"Chicken patties, nuggets and tenders",3,142,133
"Chicken patties, nuggets and tenders",4,146,131
"Chicken patties, nuggets and tenders",6,25,24
"Chicken patties, nuggets and tenders",7,13,13
"Chicken, whole pieces",1,248,175
"Chicken, whole pieces",2,310,217
"Chicken, whole pieces",3,713,547
"Chicken, whole pieces",4,1032,667
"Chicken, whole pieces",6,308,224
"Chicken, whole pieces",7,83,60
Chicken/turkey sandwiches (single code),1,30,25
Chicken/turkey sandwiches (single code),2,21,21
Chicken/turkey sandwiches (single code),3,119,103
Chicken/turkey sandwiches (single code),4,90,83
Chicken/turkey sandwiches (single code),6,31,28
Chicken/turkey sandwiches (single code),7,11,10
Citrus fruits,1,132,93
Citrus fruits,2,80,59
Citrus fruits,3,234,178
Citrus fruits,4,185,141
Citrus fruits,6,195,139
Citrus fruits,7,25,20
Citrus juice,1,136,101
Citrus juice,2,198,128
Citrus juice,3,439,319
Citrus juice,4,389,280
Citrus juice,6,150,100
Citrus juice,7,38,29
Coffee,1,634,321
Coffee,2,839,358
Coffee,3,2746,1169
Coffee,4,971,514
Coffee,6,641,327
Coffee,7,158,81
Cold cuts and cured meats,1,167,137
Cold cuts and cured meats,2,217,147
Cold cuts and cured meats,3,885,650
Cold cuts and cured meats,4,576,395
Cold cuts and cured meats,6,165,121
Cold cuts and cured meats,7,54,46
Cookies and brownies,1,219,161
Cookies and brownies,2,154,119
Cookies and brownies,3,1014,691
Cookies and brownies,4,554,427
Cookies and brownies,6,244,166
Cookies and brownies,7,84,66
Corn,1,34,30
Corn,2,40,34
