cat,var,count,uniq_count
Apple juice,1,148,113
Apple juice,2,164,131
Apples,1,544,403
Apples,2,676,514
Baby food: cereals,2,1,1
Baby food: fruit,2,1,1
Baby food: snacks and sweets,2,1,1
Baby food: vegetable,2,2,2
Baby food: yogurt,2,1,1
Baby water,1,3,3
Bacon,1,429,350
Bacon,2,369,308
Bagels and English muffins,1,219,175
Bagels and English muffins,2,275,229
Bananas,1,888,614
Bananas,2,848,637
"Beans, peas, legumes",1,622,466
"Beans, peas, legumes",2,574,463
"Beef, excludes ground",1,563,483
"Beef, excludes ground",2,472,400
Beer,1,875,586
Beer,2,243,189
Berries,1,296,212
Berries,2,438,308
"Biscuits, muffins, quick breads",1,433,351
"Biscuits, muffins, quick breads",2,481,396
Bottled water,1,2506,1137
Bottled water,2,3222,1272
Burgers (single code),1,287,249
Burgers (single code),2,200,185
Burritos and tacos,1,404,315
Burritos and tacos,2,323,267
Butter and animal fats,1,509,365
Butter and animal fats,2,599,432
Cakes and pies,1,556,455
Cakes and pies,2,636,529
Candy containing chocolate,1,560,423
Candy containing chocolate,2,613,483
Candy not containing chocolate,1,449,351
Candy not containing chocolate,2,600,472
Carrots,1,316,259
Carrots,2,424,360
Cereal bars,1,171,130
Cereal bars,2,228,173
Cheese,1,1841,1165
Cheese,2,1770,1143
"Chicken patties, nuggets and tenders",1,193,180
"Chicken patties, nuggets and tenders",2,193,178
"Chicken, whole pieces",1,1357,913
"Chicken, whole pieces",2,1337,977
Chicken/turkey sandwiches (single code),1,169,146
Chicken/turkey sandwiches (single code),2,133,124
Citrus fruits,1,370,278
Citrus fruits,2,481,352
Citrus juice,1,714,500
Citrus juice,2,636,457
Coffee,1,2918,1342
Coffee,2,3071,1428
Cold cuts and cured meats,1,1203,835
Cold cuts and cured meats,2,861,661
Cookies and brownies,1,1137,801
Cookies and brownies,2,1132,829
Corn,1,212,194
Corn,2,262,239
Cottage/ricotta cheese,1,42,35
Cottage/ricotta cheese,2,80,74
"Crackers, excludes saltines",1,419,339
"Crackers, excludes saltines",2,649,509
Cream and cream substitutes,1,967,531
Cream and cream substitutes,2,1298,714
"Cream cheese, sour cream, whipped cream",1,213,181
"Cream cheese, sour cream, whipped cream",2,329,276
"Dark green vegetables, excludes lettuce",1,461,352
"Dark green vegetables, excludes lettuce",2,591,478
Diet soft drinks,1,761,363
Diet soft drinks,2,852,428
Diet sport and energy drinks,1,22,19
Diet sport and energy drinks,2,3,3
"Dips, gravies, other sauces",1,468,365
"Dips, gravies, other sauces",2,494,382
"Doughnuts, sweet rolls, pastries",1,521,414
"Doughnuts, sweet rolls, pastries",2,463,386
Dried fruits,1,154,112
Dried fruits,2,193,152
"Egg rolls, dumplings, sushi",1,135,110
"Egg rolls, dumplings, sushi",2,154,127
Egg/breakfast sandwiches (single code),1,212,183
Egg/breakfast sandwiches (single code),2,155,141
Eggs and omelets,1,1183,907
Eggs and omelets,2,1068,853
Enhanced or fortified water,1,58,37
Enhanced or fortified water,2,48,36
Fish,1,486,388
Fish,2,549,448
"Flavored milk, lowfat",1,22,19
"Flavored milk, lowfat",2,15,14
"Flavored milk, nonfat",1,4,4
"Flavored milk, nonfat",2,4,4
"Flavored milk, reduced fat",1,43,36
"Flavored milk, reduced fat",2,35,33
"Flavored milk, whole",1,44,38
"Flavored milk, whole",2,45,42
Flavored or carbonated water,1,90,59
Flavored or carbonated water,2,120,87
Frankfurter sandwiches (single code),1,186,171
Frankfurter sandwiches (single code),2,154,143
Frankfurters,1,74,64
Frankfurters,2,64,60
French fries and other fried white potatoes,1,864,688
French fries and other fried white potatoes,2,718,591
Fried rice and lo/chow mein,1,214,163
Fried rice and lo/chow mein,2,198,155
Fruit drinks,1,928,626
Fruit drinks,2,1020,675
"Gelatins, ices, sorbets",1,89,74
"Gelatins, ices, sorbets",2,155,137
Grapes,1,215,178
Grapes,2,328,258
Grits and other cooked cereals,1,138,116
Grits and other cooked cereals,2,136,112
Ground beef,1,348,309
Ground beef,2,252,237
Ice cream and frozen dairy desserts,1,653,536
Ice cream and frozen dairy desserts,2,682,574
"Jams, syrups, toppings",1,623,464
"Jams, syrups, toppings",2,574,469
"Lamb, goat, game",1,53,46
"Lamb, goat, game",2,25,24
Lettuce and lettuce salads,1,1186,863
Lettuce and lettuce salads,2,1358,965
Liquor and cocktails,1,352,249
Liquor and cocktails,2,199,155
Liver and organ meats,1,21,20
Liver and organ meats,2,16,15
Macaroni and cheese,1,174,160
Macaroni and cheese,2,238,214
Margarine,1,476,327
Margarine,2,596,414
Mashed potatoes and white potato mixtures,1,492,420
Mashed potatoes and white potato mixtures,2,509,441
Mayonnaise,1,831,641
Mayonnaise,2,686,550
Meat mixed dishes,1,592,493
Meat mixed dishes,2,508,439
Melons,1,224,152
Melons,2,313,211
Milk shakes and other dairy drinks,1,80,70
Milk shakes and other dairy drinks,2,97,84
Milk substitutes,1,132,83
Milk substitutes,2,219,137
"Milk, lowfat",1,359,194
"Milk, lowfat",2,432,223
"Milk, nonfat",1,350,176
"Milk, nonfat",2,373,200
"Milk, reduced fat",1,1023,561
"Milk, reduced fat",2,1024,587
"Milk, whole",1,678,383
"Milk, whole",2,565,331
Mustard and other condiments,1,867,635
Mustard and other condiments,2,737,557
Nachos,1,43,36
Nachos,2,43,41
Not included in a food category,1,106,80
Not included in a food category,2,123,100
Nutrition bars,1,51,37
Nutrition bars,2,47,39
Nutritional beverages,1,75,48
Nutritional beverages,2,79,54
Nuts and seeds,1,1024,640
Nuts and seeds,2,1107,718
Oatmeal,1,298,207
Oatmeal,2,449,323
"Olives, pickles, pickled vegetables",1,356,275
"Olives, pickles, pickled vegetables",2,369,287
Onions,1,515,424
Onions,2,479,404
Other Mexican mixed dishes,1,205,174
Other Mexican mixed dishes,2,228,192
Other diet drinks,1,66,47
Other diet drinks,2,138,82
Other fruit juice,1,307,222
Other fruit juice,2,385,281
Other fruits and fruit salads,1,469,348
Other fruits and fruit salads,2,642,460
Other red and orange vegetables,1,121,102
Other red and orange vegetables,2,211,187
Other sandwiches (single code),1,128,115
Other sandwiches (single code),2,115,102
Other starchy vegetables,1,200,176
Other starchy vegetables,2,192,165
Other vegetables and combinations,1,1153,756
Other vegetables and combinations,2,1619,975
"Pancakes, waffles, French toast",1,228,207
"Pancakes, waffles, French toast",2,258,227
"Pasta mixed dishes, excludes macaroni and cheese",1,404,325
"Pasta mixed dishes, excludes macaroni and cheese",2,458,379
"Pasta sauces, tomato-based",1,85,79
"Pasta sauces, tomato-based",2,84,79
"Pasta, noodles, cooked grains",1,160,151
"Pasta, noodles, cooked grains",2,197,179
Peaches and nectarines,1,148,123
Peaches and nectarines,2,170,143
Pizza,1,557,420
Pizza,2,463,384
Popcorn,1,163,150
Popcorn,2,230,212
Pork,1,439,363
Pork,2,366,312
Potato chips,1,621,522
Potato chips,2,592,493
Poultry mixed dishes,1,337,280
Poultry mixed dishes,2,401,333
Pretzels/snack mix,1,127,105
Pretzels/snack mix,2,190,159
Processed soy products,1,69,53
Processed soy products,2,71,60
Protein and nutritional powders,1,105,64
Protein and nutritional powders,2,83,59
Pudding,1,86,73
Pudding,2,101,90
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",1,550,431
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",2,568,465
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",1,480,349
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",2,487,373
Rice,1,1046,670
Rice,2,1026,674
Rice mixed dishes,1,368,292
Rice mixed dishes,2,361,299
Rolls and buns,1,813,648
Rolls and buns,2,670,563
Salad dressings and vegetable oils,1,716,548
Salad dressings and vegetable oils,2,1004,756
Saltine crackers,1,215,175
Saltine crackers,2,235,208
Sausages,1,406,344
Sausages,2,332,286
Seafood mixed dishes,1,194,171
Seafood mixed dishes,2,232,206
Shellfish,1,215,170
Shellfish,2,212,169
Soft drinks,1,2358,1177
Soft drinks,2,1870,958
Soups,1,779,538
Soups,2,905,623
Soy-based condiments,1,164,126
Soy-based condiments,2,196,152
Sport and energy drinks,1,375,256
Sport and energy drinks,2,150,116
Stir-fry and soy-based sauce mixtures,1,269,194
Stir-fry and soy-based sauce mixtures,2,246,185
String beans,1,261,237
String beans,2,290,263
Sugar substitutes,1,603,273
Sugar substitutes,2,724,374
Sugars and honey,1,1527,838
Sugars and honey,2,1574,858
Tap water,1,4239,1625
Tap water,2,4502,1611
Tea,1,1690,847
Tea,2,1907,983
Tomato-based condiments,1,1287,826
Tomato-based condiments,2,953,679
Tomatoes,1,982,722
Tomatoes,2,1117,823
"Tortilla, corn, other chips",1,507,425
"Tortilla, corn, other chips",2,575,456
Tortillas,1,395,270
Tortillas,2,303,226
"Turkey, duck, other poultry",1,151,125
"Turkey, duck, other poultry",2,135,121
Turnovers and other grain-based items,1,115,100
Turnovers and other grain-based items,2,136,123
Vegetable juice,1,99,66
Vegetable juice,2,77,61
Vegetable mixed dishes,1,244,211
Vegetable mixed dishes,2,325,270
"White potatoes, baked or boiled",1,170,156
"White potatoes, baked or boiled",2,181,161
Wine,1,266,186
Wine,2,370,266
Yeast breads,1,2657,1531
Yeast breads,2,2474,1486
"Yogurt, lowfat and nonfat",1,237,166
"Yogurt, lowfat and nonfat",2,447,330
"Yogurt, whole and reduced fat",1,52,41
"Yogurt, whole and reduced fat",2,71,59
~ALL~,1,72495,2535
~ALL~,2,75133,2541
