cat,var,count,uniq_count
Apple juice,0,955,565
Apple juice,10,219,175
Apple juice,20,84,65
Apple juice,30,44,39
Apple juice,40,35,30
Apple juice,50,32,26
Apple juice,60,53,39
Apple juice,70,18,13
Apple juice,80,24,15
Apples,0,922,684
Apples,10,441,338
Apples,20,171,127
Apples,30,190,143
Apples,40,167,133
Apples,50,204,152
Apples,60,220,164
Apples,70,138,99
Apples,80,87,65
Baby food: cereals,0,732,202
Baby food: cereals,30,1,1
Baby food: fruit,0,326,164
Baby food: fruit,20,1,1
Baby food: meat and dinners,0,116,62
Baby food: snacks and sweets,0,194,112
Baby food: snacks and sweets,50,1,1
Baby food: vegetable,0,256,120
Baby food: vegetable,40,1,1
Baby food: vegetable,70,1,1
Baby food: yogurt,0,41,31
Baby food: yogurt,20,1,1
Baby juice,0,166,83
Baby water,0,183,82
Baby water,10,1,1
Baby water,50,1,1
Baby water,60,2,2
Bacon,0,188,172
Bacon,10,194,165
Bacon,20,113,101
Bacon,30,135,107
Bacon,40,111,94
Bacon,50,115,97
Bacon,60,141,118
Bacon,70,89,70
Bacon,80,59,42
Bagels and English muffins,0,114,101
Bagels and English muffins,10,123,109
Bagels and English muffins,20,74,64
Bagels and English muffins,30,84,73
Bagels and English muffins,40,75,65
Bagels and English muffins,50,95,76
Bagels and English muffins,60,80,59
Bagels and English muffins,70,32,25
Bagels and English muffins,80,32,23
Bananas,0,713,547
Bananas,10,238,195
Bananas,20,197,143
Bananas,30,241,170
Bananas,40,234,178
Bananas,50,328,239
Bananas,60,326,233
Bananas,70,239,169
Bananas,80,129,83
"Beans, peas, legumes",0,362,316
"Beans, peas, legumes",10,197,170
"Beans, peas, legumes",20,159,135
"Beans, peas, legumes",30,225,156
"Beans, peas, legumes",40,211,167
"Beans, peas, legumes",50,208,160
"Beans, peas, legumes",60,228,175
"Beans, peas, legumes",70,100,81
"Beans, peas, legumes",80,35,30
"Beef, excludes ground",0,197,182
"Beef, excludes ground",10,212,188
"Beef, excludes ground",20,169,145
"Beef, excludes ground",30,170,144
"Beef, excludes ground",40,156,137
"Beef, excludes ground",50,166,140
"Beef, excludes ground",60,161,138
"Beef, excludes ground",70,97,82
"Beef, excludes ground",80,70,57
Beer,10,22,21
Beer,20,231,168
Beer,30,232,161
Beer,40,208,143
Beer,50,194,137
Beer,60,144,97
Beer,70,56,32
Beer,80,35,20
Berries,0,404,277
Berries,10,152,121
Berries,20,80,65
Berries,30,111,86
Berries,40,93,74
Berries,50,110,76
Berries,60,160,98
Berries,70,110,72
Berries,80,54,37
"Biscuits, muffins, quick breads",0,286,242
"Biscuits, muffins, quick breads",10,218,194
"Biscuits, muffins, quick breads",20,126,104
"Biscuits, muffins, quick breads",30,115,98
"Biscuits, muffins, quick breads",40,134,114
"Biscuits, muffins, quick breads",50,113,101
"Biscuits, muffins, quick breads",60,181,141
"Biscuits, muffins, quick breads",70,124,99
"Biscuits, muffins, quick breads",80,93,64
Bottled water,0,2080,935
Bottled water,10,1554,800
Bottled water,20,916,434
Bottled water,30,899,412
Bottled water,40,995,400
Bottled water,50,1054,400
Bottled water,60,948,359
Bottled water,70,442,170
Bottled water,80,174,73
Burgers (single code),0,132,123
Burgers (single code),10,166,147
Burgers (single code),20,127,107
Burgers (single code),30,101,90
Burgers (single code),40,69,64
Burgers (single code),50,66,62
Burgers (single code),60,50,44
Burgers (single code),70,21,20
Burgers (single code),80,12,11
Burritos and tacos,0,258,216
Burritos and tacos,10,271,227
Burritos and tacos,20,176,144
Burritos and tacos,30,174,135
Burritos and tacos,40,122,98
Burritos and tacos,50,116,89
Burritos and tacos,60,68,55
Burritos and tacos,70,20,17
Burritos and tacos,80,6,6
Butter and animal fats,0,290,237
Butter and animal fats,10,189,166
Butter and animal fats,20,126,105
Butter and animal fats,30,141,107
Butter and animal fats,40,152,114
Butter and animal fats,50,185,137
Butter and animal fats,60,208,149
Butter and animal fats,70,148,87
Butter and animal fats,80,107,64
Cakes and pies,0,293,254
Cakes and pies,10,271,227
Cakes and pies,20,158,128
Cakes and pies,30,148,134
Cakes and pies,40,192,156
Cakes and pies,50,205,172
Cakes and pies,60,217,181
Cakes and pies,70,139,111
Cakes and pies,80,98,72
Candy containing chocolate,0,330,272
Candy containing chocolate,10,330,258
Candy containing chocolate,20,190,141
Candy containing chocolate,30,194,161
Candy containing chocolate,40,203,160
Candy containing chocolate,50,193,141
Candy containing chocolate,60,175,137
Candy containing chocolate,70,109,83
Candy containing chocolate,80,73,53
Candy not containing chocolate,0,932,663
Candy not containing chocolate,10,575,430
Candy not containing chocolate,20,190,150
Candy not containing chocolate,30,196,154
Candy not containing chocolate,40,147,115
Candy not containing chocolate,50,163,124
Candy not containing chocolate,60,145,117
Candy not containing chocolate,70,75,57
Candy not containing chocolate,80,51,38
Carrots,0,293,253
Carrots,10,175,150
Carrots,20,109,93
Carrots,30,109,94
Carrots,40,111,96
Carrots,50,141,112
Carrots,60,129,105
Carrots,70,64,54
Carrots,80,57,47
Cereal bars,0,193,157
Cereal bars,10,158,127
Cereal bars,20,90,64
Cereal bars,30,88,62
Cereal bars,40,69,53
Cereal bars,50,67,50
Cereal bars,60,39,34
Cereal bars,70,15,13
Cereal bars,80,6,5
Cheese,0,1410,911
Cheese,10,1035,712
Cheese,20,628,413
Cheese,30,681,426
Cheese,40,650,384
Cheese,50,529,336
Cheese,60,513,334
Cheese,70,273,186
Cheese,80,133,95
"Chicken patties, nuggets and tenders",0,564,480
"Chicken patties, nuggets and tenders",10,306,260
"Chicken patties, nuggets and tenders",20,108,99
"Chicken patties, nuggets and tenders",30,69,65
"Chicken patties, nuggets and tenders",40,62,58
"Chicken patties, nuggets and tenders",50,39,37
"Chicken patties, nuggets and tenders",60,36,33
"Chicken patties, nuggets and tenders",70,12,11
"Chicken patties, nuggets and tenders",80,12,11
"Chicken, whole pieces",0,843,657
"Chicken, whole pieces",10,710,524
"Chicken, whole pieces",20,439,320
"Chicken, whole pieces",30,442,326
"Chicken, whole pieces",40,447,305
"Chicken, whole pieces",50,472,311
"Chicken, whole pieces",60,417,292
"Chicken, whole pieces",70,222,155
"Chicken, whole pieces",80,106,76
Chicken/turkey sandwiches (single code),0,31,29
Chicken/turkey sandwiches (single code),10,119,109
Chicken/turkey sandwiches (single code),20,82,74
Chicken/turkey sandwiches (single code),30,54,52
Chicken/turkey sandwiches (single code),40,58,48
Chicken/turkey sandwiches (single code),50,37,34
Chicken/turkey sandwiches (single code),60,20,19
Chicken/turkey sandwiches (single code),70,10,10
Chicken/turkey sandwiches (single code),80,8,5
Citrus fruits,0,400,325
Citrus fruits,10,221,179
Citrus fruits,20,125,94
Citrus fruits,30,125,89
Citrus fruits,40,109,86
Citrus fruits,50,171,118
Citrus fruits,60,148,115
Citrus fruits,70,90,67
Citrus fruits,80,59,42
Citrus juice,0,692,496
Citrus juice,10,452,348
Citrus juice,20,255,175
Citrus juice,30,175,137
Citrus juice,40,182,137
Citrus juice,50,188,136
Citrus juice,60,209,143
Citrus juice,70,164,110
Citrus juice,80,116,73
Coffee,0,58,52
Coffee,10,203,159
Coffee,20,471,289
Coffee,30,861,410
Coffee,40,963,444
Coffee,50,1086,495
Coffee,60,1268,560
Coffee,70,752,318
Coffee,80,518,205
Cold cuts and cured meats,0,645,508
Cold cuts and cured meats,10,568,439
Cold cuts and cured meats,20,289,219
Cold cuts and cured meats,30,336,243
Cold cuts and cured meats,40,368,272
Cold cuts and cured meats,50,318,218
Cold cuts and cured meats,60,353,247
Cold cuts and cured meats,70,178,129
Cold cuts and cured meats,80,116,90
Cookies and brownies,0,1352,916
Cookies and brownies,10,780,564
Cookies and brownies,20,339,258
Cookies and brownies,30,304,233
Cookies and brownies,40,308,234
Cookies and brownies,50,354,259
Cookies and brownies,60,376,267
Cookies and brownies,70,267,170
Cookies and brownies,80,221,130
Corn,0,231,213
Corn,10,152,139
Corn,20,76,67
Corn,30,62,57
Corn,40,70,61
Corn,50,92,88
Corn,60,78,71
Corn,70,47,43
Corn,80,27,25
Cottage/ricotta cheese,0,22,21
Cottage/ricotta cheese,10,7,7
Cottage/ricotta cheese,20,8,8
Cottage/ricotta cheese,30,18,15
Cottage/ricotta cheese,40,14,12
Cottage/ricotta cheese,50,18,16
Cottage/ricotta cheese,60,31,28
Cottage/ricotta cheese,70,18,15
Cottage/ricotta cheese,80,13,13
"Crackers, excludes saltines",0,698,511
"Crackers, excludes saltines",10,281,232
"Crackers, excludes saltines",20,166,134
"Crackers, excludes saltines",30,132,116
"Crackers, excludes saltines",40,170,138
"Crackers, excludes saltines",50,172,133
"Crackers, excludes saltines",60,188,144
"Crackers, excludes saltines",70,129,96
"Crackers, excludes saltines",80,73,56
Cream and cream substitutes,0,37,34
Cream and cream substitutes,10,62,47
Cream and cream substitutes,20,171,132
Cream and cream substitutes,30,367,203
Cream and cream substitutes,40,416,222
Cream and cream substitutes,50,435,236
Cream and cream substitutes,60,456,237
Cream and cream substitutes,70,248,134
Cream and cream substitutes,80,150,65
"Cream cheese, sour cream, whipped cream",0,160,134
"Cream cheese, sour cream, whipped cream",10,139,126
"Cream cheese, sour cream, whipped cream",20,106,90
"Cream cheese, sour cream, whipped cream",30,106,89
"Cream cheese, sour cream, whipped cream",40,85,76
"Cream cheese, sour cream, whipped cream",50,83,67
"Cream cheese, sour cream, whipped cream",60,62,53
"Cream cheese, sour cream, whipped cream",70,43,36
"Cream cheese, sour cream, whipped cream",80,33,25
"Dark green vegetables, excludes lettuce",0,243,220
"Dark green vegetables, excludes lettuce",10,177,149
"Dark green vegetables, excludes lettuce",20,143,109
"Dark green vegetables, excludes lettuce",30,156,135
"Dark green vegetables, excludes lettuce",40,172,131
"Dark green vegetables, excludes lettuce",50,186,148
"Dark green vegetables, excludes lettuce",60,217,163
"Dark green vegetables, excludes lettuce",70,85,67
"Dark green vegetables, excludes lettuce",80,71,57
Diet soft drinks,0,60,53
Diet soft drinks,10,138,101
Diet soft drinks,20,162,95
Diet soft drinks,30,245,121
Diet soft drinks,40,258,124
Diet soft drinks,50,366,149
Diet soft drinks,60,278,137
Diet soft drinks,70,187,103
Diet soft drinks,80,75,40
Diet sport and energy drinks,0,3,3
Diet sport and energy drinks,10,3,2
Diet sport and energy drinks,20,10,10
Diet sport and energy drinks,30,5,5
Diet sport and energy drinks,40,3,3
Diet sport and energy drinks,50,2,2
Diet sport and energy drinks,60,5,2
"Dips, gravies, other sauces",0,161,146
"Dips, gravies, other sauces",10,176,154
"Dips, gravies, other sauces",20,154,116
"Dips, gravies, other sauces",30,207,152
"Dips, gravies, other sauces",40,178,139
"Dips, gravies, other sauces",50,156,124
"Dips, gravies, other sauces",60,123,95
"Dips, gravies, other sauces",70,68,56
"Dips, gravies, other sauces",80,50,41
"Doughnuts, sweet rolls, pastries",0,422,363
"Doughnuts, sweet rolls, pastries",10,359,293
"Doughnuts, sweet rolls, pastries",20,160,129
