cat,var,count,uniq_count
Apple juice,0,37,34
Apple juice,1,62,46
Apple juice,2,71,57
Apple juice,3,49,40
Apple juice,4,36,27
Apple juice,5,48,34
Apple juice,8,9,6
Apples,0,174,133
Apples,1,212,165
Apples,2,307,224
Apples,3,205,158
Apples,4,129,96
Apples,5,154,116
Apples,8,36,24
Apples,99,3,1
Baby food: cereals,0,1,1
Baby food: fruit,3,1,1
Baby food: snacks and sweets,1,1,1
Baby food: vegetable,2,1,1
Baby food: vegetable,4,1,1
Baby food: yogurt,3,1,1
Baby water,0,1,1
Baby water,3,2,2
Bacon,0,58,46
Bacon,1,112,96
Bacon,2,165,141
Bacon,3,154,129
Bacon,4,128,107
Bacon,5,172,131
Bacon,8,9,8
Bagels and English muffins,0,62,50
Bagels and English muffins,1,81,68
Bagels and English muffins,2,125,103
Bagels and English muffins,3,92,76
Bagels and English muffins,4,48,41
Bagels and English muffins,5,68,53
Bagels and English muffins,8,18,13
Bananas,0,217,152
Bananas,1,301,221
Bananas,2,436,318
Bananas,3,309,221
Bananas,4,164,119
Bananas,5,268,187
Bananas,8,39,31
Bananas,99,2,2
"Beans, peas, legumes",0,155,112
"Beans, peas, legumes",1,217,158
"Beans, peas, legumes",2,327,258
"Beans, peas, legumes",3,208,164
"Beans, peas, legumes",4,119,97
"Beans, peas, legumes",5,140,116
"Beans, peas, legumes",8,28,22
"Beans, peas, legumes",99,2,2
"Beef, excludes ground",0,114,95
"Beef, excludes ground",1,167,144
"Beef, excludes ground",2,231,198
"Beef, excludes ground",3,180,153
"Beef, excludes ground",4,147,127
"Beef, excludes ground",5,174,148
"Beef, excludes ground",8,18,16
"Beef, excludes ground",99,4,2
Beer,0,145,97
Beer,1,216,147
Beer,2,271,189
Beer,3,188,130
Beer,4,117,77
Beer,5,158,118
Beer,8,23,17
Berries,0,123,80
Berries,1,123,94
Berries,2,165,118
Berries,3,136,100
Berries,4,85,54
Berries,5,83,61
Berries,8,19,13
"Biscuits, muffins, quick breads",0,92,69
"Biscuits, muffins, quick breads",1,118,96
"Biscuits, muffins, quick breads",2,204,166
"Biscuits, muffins, quick breads",3,198,163
"Biscuits, muffins, quick breads",4,109,92
"Biscuits, muffins, quick breads",5,181,150
"Biscuits, muffins, quick breads",8,12,11
Bottled water,0,594,262
Bottled water,1,929,394
Bottled water,2,1414,589
Bottled water,3,1079,465
Bottled water,4,620,262
Bottled water,5,976,389
Bottled water,8,104,45
Bottled water,99,12,3
Burgers (single code),0,42,37
Burgers (single code),1,73,63
Burgers (single code),2,109,99
Burgers (single code),3,89,78
Burgers (single code),4,62,56
Burgers (single code),5,95,85
Burgers (single code),8,17,16
Burritos and tacos,0,78,66
Burritos and tacos,1,140,109
Burritos and tacos,2,193,157
Burritos and tacos,3,118,93
Burritos and tacos,4,77,62
Burritos and tacos,5,92,76
Burritos and tacos,8,29,19
Butter and animal fats,0,122,84
Butter and animal fats,1,168,124
Butter and animal fats,2,284,207
Butter and animal fats,3,187,134
Butter and animal fats,4,114,83
Butter and animal fats,5,212,148
Butter and animal fats,8,21,17
Cakes and pies,0,118,97
Cakes and pies,1,153,126
Cakes and pies,2,300,243
Cakes and pies,3,230,198
Cakes and pies,4,170,136
Cakes and pies,5,198,161
Cakes and pies,8,18,18
Cakes and pies,99,5,5
Candy containing chocolate,0,144,110
Candy containing chocolate,1,187,147
Candy containing chocolate,2,281,218
Candy containing chocolate,3,187,146
