cat,var,count,uniq_count
Apple juice,1,2,2
Apple juice,2,28,23
Apple juice,3,32,27
Apple juice,4,26,21
Apples,1,17,10
Apples,2,149,109
Apples,3,182,131
Apples,4,149,117
Baby food: cereals,2,1,1
Baby food: vegetable,3,1,1
Bacon,1,7,7
Bacon,2,98,81
Bacon,3,104,85
Bacon,4,78,72
Bagels and English muffins,1,8,8
Bagels and English muffins,2,75,64
Bagels and English muffins,3,72,58
Bagels and English muffins,4,86,67
Bananas,1,12,9
Bananas,2,198,150
Bananas,3,256,169
Bananas,4,186,141
"Beans, peas, legumes",1,17,11
"Beans, peas, legumes",2,111,86
"Beans, peas, legumes",3,111,96
"Beans, peas, legumes",4,103,92
"Beef, excludes ground",1,11,10
"Beef, excludes ground",2,90,78
"Beef, excludes ground",3,146,125
"Beef, excludes ground",4,126,111
Beer,1,8,6
Beer,2,169,107
Beer,3,190,121
Beer,4,130,81
Berries,1,16,10
Berries,2,135,91
Berries,3,136,91
Berries,4,109,78
"Biscuits, muffins, quick breads",1,12,10
"Biscuits, muffins, quick breads",2,114,85
"Biscuits, muffins, quick breads",3,120,97
"Biscuits, muffins, quick breads",4,133,112
Bottled water,1,23,12
Bottled water,2,344,174
Bottled water,3,531,231
Bottled water,4,506,230
Burgers (single code),1,7,4
Burgers (single code),2,40,37
Burgers (single code),3,56,47
Burgers (single code),4,68,59
Burritos and tacos,1,12,8
Burritos and tacos,2,92,78
Burritos and tacos,3,83,73
Burritos and tacos,4,91,75
Butter and animal fats,1,5,5
Butter and animal fats,2,176,123
Butter and animal fats,3,218,141
Butter and animal fats,4,175,123
Cakes and pies,1,12,10
Cakes and pies,2,135,118
Cakes and pies,3,150,123
Cakes and pies,4,167,140
Candy containing chocolate,1,33,18
Candy containing chocolate,2,192,138
Candy containing chocolate,3,182,134
Candy containing chocolate,4,166,124
Candy not containing chocolate,1,11,6
Candy not containing chocolate,2,129,93
Candy not containing chocolate,3,146,119
Candy not containing chocolate,4,126,98
Carrots,1,8,7
Carrots,2,104,84
Carrots,3,133,111
Carrots,4,98,86
Cereal bars,1,4,3
Cereal bars,2,51,38
Cereal bars,3,67,47
Cereal bars,4,66,51
Cheese,1,34,20
Cheese,2,502,288
Cheese,3,605,359
Cheese,4,559,346
"Chicken patties, nuggets and tenders",1,3,2
"Chicken patties, nuggets and tenders",2,39,36
"Chicken patties, nuggets and tenders",3,44,42
"Chicken patties, nuggets and tenders",4,53,50
"Chicken, whole pieces",1,28,20
"Chicken, whole pieces",2,202,158
"Chicken, whole pieces",3,237,183
"Chicken, whole pieces",4,234,180
Chicken/turkey sandwiches (single code),1,4,3
Chicken/turkey sandwiches (single code),2,30,26
Chicken/turkey sandwiches (single code),3,50,42
Chicken/turkey sandwiches (single code),4,34,31
Citrus fruits,1,7,7
Citrus fruits,2,78,55
Citrus fruits,3,65,52
Citrus fruits,4,80,61
Citrus juice,1,17,11
Citrus juice,2,143,98
Citrus juice,3,157,115
Citrus juice,4,116,90
Coffee,1,66,31
Coffee,2,791,338
Coffee,3,971,407
Coffee,4,886,380
Cold cuts and cured meats,1,22,16
Cold cuts and cured meats,2,253,181
Cold cuts and cured meats,3,328,239
Cold cuts and cured meats,4,272,208
Cookies and brownies,1,21,17
Cookies and brownies,2,321,214
Cookies and brownies,3,342,230
Cookies and brownies,4,313,219
Corn,1,3,3
Corn,2,52,50
Corn,3,56,52
Corn,4,75,70
Cottage/ricotta cheese,2,33,30
Cottage/ricotta cheese,3,26,22
Cottage/ricotta cheese,4,20,19
"Crackers, excludes saltines",1,25,17
"Crackers, excludes saltines",2,188,142
"Crackers, excludes saltines",3,173,138
"Crackers, excludes saltines",4,153,120
Cream and cream substitutes,1,30,16
Cream and cream substitutes,2,274,138
Cream and cream substitutes,3,354,187
Cream and cream substitutes,4,350,176
"Cream cheese, sour cream, whipped cream",1,7,6
"Cream cheese, sour cream, whipped cream",2,83,70
"Cream cheese, sour cream, whipped cream",3,100,80
"Cream cheese, sour cream, whipped cream",4,77,68
"Dark green vegetables, excludes lettuce",1,10,7
"Dark green vegetables, excludes lettuce",2,112,86
"Dark green vegetables, excludes lettuce",3,116,99
"Dark green vegetables, excludes lettuce",4,93,83
Diet soft drinks,1,5,4
Diet soft drinks,2,179,91
Diet soft drinks,3,308,143
Diet soft drinks,4,462,184
Diet sport and energy drinks,1,1,1
Diet sport and energy drinks,2,3,3
Diet sport and energy drinks,3,5,5
Diet sport and energy drinks,4,1,1
"Dips, gravies, other sauces",1,7,6
"Dips, gravies, other sauces",2,126,106
"Dips, gravies, other sauces",3,145,107
"Dips, gravies, other sauces",4,124,95
"Doughnuts, sweet rolls, pastries",1,16,10
"Doughnuts, sweet rolls, pastries",2,113,95
"Doughnuts, sweet rolls, pastries",3,135,105
"Doughnuts, sweet rolls, pastries",4,111,88
Dried fruits,1,3,2
Dried fruits,2,69,45
Dried fruits,3,55,41
Dried fruits,4,36,27
"Egg rolls, dumplings, sushi",1,7,4
"Egg rolls, dumplings, sushi",2,16,14
"Egg rolls, dumplings, sushi",3,24,21
"Egg rolls, dumplings, sushi",4,41,35
Egg/breakfast sandwiches (single code),1,2,2
Egg/breakfast sandwiches (single code),2,29,27
Egg/breakfast sandwiches (single code),3,65,59
Egg/breakfast sandwiches (single code),4,55,46
Eggs and omelets,1,21,18
Eggs and omelets,2,248,182
Eggs and omelets,3,255,196
Eggs and omelets,4,258,211
Enhanced or fortified water,1,1,1
Enhanced or fortified water,2,16,10
Enhanced or fortified water,3,18,14
Enhanced or fortified water,4,7,6
Fish,1,7,5
Fish,2,72,64
Fish,3,90,81
