cat,var,count,uniq_count
Apple juice,1,129,99
Apple juice,2,101,81
Apple juice,3,51,43
Apples,1,551,404
Apples,2,373,294
Apples,3,211,160
Baby food: cereals,3,1,1
Baby food: fruit,2,1,1
Baby food: snacks and sweets,1,1,1
Baby food: vegetable,1,1,1
Baby food: vegetable,2,1,1
Baby food: yogurt,2,1,1
Baby water,1,2,2
Baby water,3,1,1
Bacon,1,356,301
Bacon,2,241,200
Bacon,3,167,131
Bagels and English muffins,1,204,166
Bagels and English muffins,2,174,141
Bagels and English muffins,3,86,72
Bananas,1,824,570
Bananas,2,524,381
Bananas,3,267,203
"Beans, peas, legumes",1,520,401
"Beans, peas, legumes",2,388,301
"Beans, peas, legumes",3,188,155
"Beef, excludes ground",1,477,402
"Beef, excludes ground",2,310,269
"Beef, excludes ground",3,187,163
Beer,1,473,346
Beer,2,332,225
Beer,3,242,154
Berries,1,309,226
Berries,2,263,177
Berries,3,106,79
"Biscuits, muffins, quick breads",1,440,354
"Biscuits, muffins, quick breads",2,268,224
"Biscuits, muffins, quick breads",3,168,137
Bottled water,1,2596,1070
Bottled water,2,1693,731
Bottled water,3,1038,431
Burgers (single code),1,210,183
Burgers (single code),2,132,121
Burgers (single code),3,119,105
Burritos and tacos,1,282,228
Burritos and tacos,2,232,184
Burritos and tacos,3,148,125
Butter and animal fats,1,461,327
Butter and animal fats,2,365,267
Butter and animal fats,3,232,169
Cakes and pies,1,506,414
Cakes and pies,2,386,313
Cakes and pies,3,235,201
Candy containing chocolate,1,479,360
Candy containing chocolate,2,392,308
Candy containing chocolate,3,231,180
Candy not containing chocolate,1,405,321
Candy not containing chocolate,2,371,289
Candy not containing chocolate,3,215,170
Carrots,1,323,265
Carrots,2,231,200
Carrots,3,139,115
Cereal bars,1,152,112
Cereal bars,2,153,120
Cereal bars,3,72,52
Cheese,1,1450,958
Cheese,2,1218,750
Cheese,3,709,455
"Chicken patties, nuggets and tenders",1,156,143
"Chicken patties, nuggets and tenders",2,113,104
"Chicken patties, nuggets and tenders",3,92,87
"Chicken, whole pieces",1,1139,801
"Chicken, whole pieces",2,866,609
"Chicken, whole pieces",3,501,351
Chicken/turkey sandwiches (single code),1,119,107
Chicken/turkey sandwiches (single code),2,99,92
Chicken/turkey sandwiches (single code),3,67,57
Citrus fruits,1,440,317
Citrus fruits,2,226,166
Citrus fruits,3,125,101
Citrus juice,1,614,424
Citrus juice,2,424,305
Citrus juice,3,227,170
Coffee,1,2639,1212
Coffee,2,1791,835
Coffee,3,1196,546
Cold cuts and cured meats,1,856,623
Cold cuts and cured meats,2,688,489
Cold cuts and cured meats,3,414,304
Cookies and brownies,1,981,693
Cookies and brownies,2,721,519
Cookies and brownies,3,438,321
Corn,1,210,194
Corn,2,147,132
Corn,3,93,84
Cottage/ricotta cheese,1,50,44
Cottage/ricotta cheese,2,45,40
Cottage/ricotta cheese,3,22,20
"Crackers, excludes saltines",1,407,334
"Crackers, excludes saltines",2,373,285
"Crackers, excludes saltines",3,227,179
Cream and cream substitutes,1,989,523
Cream and cream substitutes,2,673,392
Cream and cream substitutes,3,475,258
"Cream cheese, sour cream, whipped cream",1,218,187
"Cream cheese, sour cream, whipped cream",2,219,178
"Cream cheese, sour cream, whipped cream",3,71,64
"Dark green vegetables, excludes lettuce",1,507,389
"Dark green vegetables, excludes lettuce",2,300,244
"Dark green vegetables, excludes lettuce",3,185,147
Diet soft drinks,1,631,317
Diet soft drinks,2,510,250
Diet soft drinks,3,388,174
Diet sport and energy drinks,1,15,12
Diet sport and energy drinks,2,5,5
Diet sport and energy drinks,3,3,3
"Dips, gravies, other sauces",1,404,313
"Dips, gravies, other sauces",2,305,227
"Dips, gravies, other sauces",3,180,146
"Doughnuts, sweet rolls, pastries",1,389,320
"Doughnuts, sweet rolls, pastries",2,335,274
"Doughnuts, sweet rolls, pastries",3,188,148
Dried fruits,1,144,110
Dried fruits,2,138,102
Dried fruits,3,45,36
"Egg rolls, dumplings, sushi",1,118,93
"Egg rolls, dumplings, sushi",2,93,77
"Egg rolls, dumplings, sushi",3,54,49
Egg/breakfast sandwiches (single code),1,154,135
Egg/breakfast sandwiches (single code),2,118,104
Egg/breakfast sandwiches (single code),3,77,67
Eggs and omelets,1,1002,786
Eggs and omelets,2,665,523
Eggs and omelets,3,415,324
Enhanced or fortified water,1,49,36
Enhanced or fortified water,2,25,15
Enhanced or fortified water,3,18,14
Fish,1,515,408
Fish,2,282,232
Fish,3,155,132
"Flavored milk, lowfat",1,13,11
"Flavored milk, lowfat",2,16,14
"Flavored milk, lowfat",3,6,6
"Flavored milk, nonfat",1,3,3
"Flavored milk, nonfat",2,3,3
"Flavored milk, nonfat",3,2,2
