cat,var,count,uniq_count
Apple juice,1,120,94
Apple juice,2,162,129
Apple juice,3,30,21
Apples,1,437,336
Apples,2,680,510
Apples,3,102,70
Baby food: cereals,2,1,1
Baby food: fruit,1,1,1
Baby food: snacks and sweets,1,1,1
Baby food: vegetable,1,1,1
Baby food: vegetable,2,1,1
Baby food: yogurt,1,1,1
Baby water,2,3,3
Bacon,1,321,271
Bacon,2,407,333
Bacon,3,69,53
Bagels and English muffins,1,179,149
Bagels and English muffins,2,282,225
Bagels and English muffins,3,33,30
Bananas,1,637,466
Bananas,2,982,696
Bananas,3,113,87
"Beans, peas, legumes",1,419,336
"Beans, peas, legumes",2,690,523
"Beans, peas, legumes",3,81,67
"Beef, excludes ground",1,400,346
"Beef, excludes ground",2,549,468
"Beef, excludes ground",3,82,66
Beer,1,460,315
Beer,2,595,417
Beer,3,63,43
Berries,1,255,181
Berries,2,451,316
Berries,3,28,23
"Biscuits, muffins, quick breads",1,319,272
"Biscuits, muffins, quick breads",2,521,418
"Biscuits, muffins, quick breads",3,73,56
Bottled water,1,2308,964
Bottled water,2,3099,1290
Bottled water,3,309,150
Burgers (single code),1,213,186
Burgers (single code),2,250,225
Burgers (single code),3,24,23
Burritos and tacos,1,274,216
Burritos and tacos,2,389,310
Burritos and tacos,3,59,53
Butter and animal fats,1,413,300
Butter and animal fats,2,581,420
Butter and animal fats,3,112,75
Cakes and pies,1,462,386
Cakes and pies,2,634,520
Cakes and pies,3,95,77
Candy containing chocolate,1,441,340
Candy containing chocolate,2,634,489
Candy containing chocolate,3,98,77
Candy not containing chocolate,1,433,334
Candy not containing chocolate,2,535,422
Candy not containing chocolate,3,79,65
Carrots,1,260,221
Carrots,2,435,361
Carrots,3,44,36
Cereal bars,1,156,123
Cereal bars,2,220,163
Cereal bars,3,23,17
Cheese,1,1472,931
Cheese,2,1864,1199
Cheese,3,267,171
"Chicken patties, nuggets and tenders",1,152,140
"Chicken patties, nuggets and tenders",2,208,193
"Chicken patties, nuggets and tenders",3,26,25
"Chicken, whole pieces",1,1174,783
"Chicken, whole pieces",2,1334,974
"Chicken, whole pieces",3,184,131
Chicken/turkey sandwiches (single code),1,119,105
Chicken/turkey sandwiches (single code),2,151,136
Chicken/turkey sandwiches (single code),3,31,28
Citrus fruits,1,310,236
Citrus fruits,2,486,351
Citrus fruits,3,53,41
Citrus juice,1,470,356
Citrus juice,2,759,519
Citrus juice,3,119,80
Coffee,1,2275,1076
Coffee,2,3311,1497
Coffee,3,388,190
