cat,var,count,uniq_count
Apple juice,1,86,68
Apple juice,2,142,106
Apple juice,3,84,70
Apples,1,340,250
Apples,2,560,419
Apples,3,293,229
Baby food: cereals,1,1,1
Baby food: fruit,3,1,1
Baby food: snacks and sweets,2,1,1
Baby food: vegetable,1,1,1
Baby food: vegetable,3,1,1
Baby food: yogurt,3,1,1
Baby water,1,1,1
Baby water,2,2,2
Bacon,1,233,199
Bacon,2,360,295
Bacon,3,196,156
Bagels and English muffins,1,129,103
Bagels and English muffins,2,231,188
Bagels and English muffins,3,122,102
Bananas,1,464,334
Bananas,2,836,588
Bananas,3,402,301
"Beans, peas, legumes",1,288,229
"Beans, peas, legumes",2,564,421
"Beans, peas, legumes",3,302,247
"Beef, excludes ground",1,289,245
"Beef, excludes ground",2,448,381
"Beef, excludes ground",3,272,234
Beer,1,280,195
Beer,2,528,358
Beer,3,293,208
Berries,1,165,118
Berries,2,431,292
Berries,3,132,105
"Biscuits, muffins, quick breads",1,267,222
"Biscuits, muffins, quick breads",2,387,312
"Biscuits, muffins, quick breads",3,248,203
Bottled water,1,1586,652
Bottled water,2,2292,959
Bottled water,3,1733,739
Burgers (single code),1,127,119
Burgers (single code),2,185,159
Burgers (single code),3,164,147
Burritos and tacos,1,197,157
Burritos and tacos,2,288,225
Burritos and tacos,3,227,189
Butter and animal fats,1,269,201
Butter and animal fats,2,535,371
Butter and animal fats,3,293,215
Cakes and pies,1,328,274
Cakes and pies,2,538,441
Cakes and pies,3,295,244
Candy containing chocolate,1,288,225
Candy containing chocolate,2,579,427
Candy containing chocolate,3,288,241
Candy not containing chocolate,1,284,217
Candy not containing chocolate,2,421,335
Candy not containing chocolate,3,328,256
Carrots,1,203,170
Carrots,2,351,290
Carrots,3,169,146
Cereal bars,1,132,96
Cereal bars,2,142,107
Cereal bars,3,123,98
Cheese,1,957,615
Cheese,2,1503,969
Cheese,3,1071,673
"Chicken patties, nuggets and tenders",1,99,93
"Chicken patties, nuggets and tenders",2,144,134
"Chicken patties, nuggets and tenders",3,138,126
"Chicken, whole pieces",1,754,520
"Chicken, whole pieces",2,1081,763
"Chicken, whole pieces",3,793,563
Chicken/turkey sandwiches (single code),1,76,68
Chicken/turkey sandwiches (single code),2,114,100
Chicken/turkey sandwiches (single code),3,105,96
Citrus fruits,1,220,165
Citrus fruits,2,414,306
Citrus fruits,3,198,145
Citrus juice,1,350,248
Citrus juice,2,630,446
Citrus juice,3,349,248
Coffee,1,1644,768
Coffee,2,2745,1251
Coffee,3,1495,699
Cold cuts and cured meats,1,579,417
Cold cuts and cured meats,2,857,621
Cold cuts and cured meats,3,575,419
Cookies and brownies,1,571,421
Cookies and brownies,2,1078,731
Cookies and brownies,3,585,450
Corn,1,131,122
Corn,2,211,184
Corn,3,124,119
Cottage/ricotta cheese,1,38,34
Cottage/ricotta cheese,2,55,48
Cottage/ricotta cheese,3,28,26
"Crackers, excludes saltines",1,318,246
"Crackers, excludes saltines",2,452,357
"Crackers, excludes saltines",3,279,227
Cream and cream substitutes,1,668,364
Cream and cream substitutes,2,970,531
Cream and cream substitutes,3,588,329
"Cream cheese, sour cream, whipped cream",1,157,130
"Cream cheese, sour cream, whipped cream",2,232,187
"Cream cheese, sour cream, whipped cream",3,142,131
"Dark green vegetables, excludes lettuce",1,271,212
"Dark green vegetables, excludes lettuce",2,490,385
"Dark green vegetables, excludes lettuce",3,279,222
Diet soft drinks,1,508,250
Diet soft drinks,2,614,305
Diet soft drinks,3,466,222
Diet sport and energy drinks,1,5,5
Diet sport and energy drinks,2,7,7
Diet sport and energy drinks,3,13,10
"Dips, gravies, other sauces",1,238,185
"Dips, gravies, other sauces",2,426,319
"Dips, gravies, other sauces",3,271,222
"Doughnuts, sweet rolls, pastries",1,241,190
"Doughnuts, sweet rolls, pastries",2,443,363
"Doughnuts, sweet rolls, pastries",3,261,217
Dried fruits,1,69,54
Dried fruits,2,205,146
Dried fruits,3,69,60
"Egg rolls, dumplings, sushi",1,81,65
"Egg rolls, dumplings, sushi",2,138,119
