cat,var,count,uniq_count
Apple juice,1,73,60
Apple juice,2,94,66
Apples,1,223,166
Apples,2,331,253
Baby water,1,1,1
Baby water,2,2,2
Bacon,1,194,156
Bacon,2,231,183
Bagels and English muffins,1,87,73
Bagels and English muffins,2,101,78
Bananas,1,346,234
Bananas,2,509,374
"Beans, peas, legumes",1,203,165
"Beans, peas, legumes",2,438,322
"Beef, excludes ground",1,219,184
"Beef, excludes ground",2,327,273
Beer,1,237,161
Beer,2,328,234
Beer,9,2,1
Berries,1,126,96
Berries,2,157,108
"Biscuits, muffins, quick breads",1,188,158
"Biscuits, muffins, quick breads",2,292,230
Bottled water,1,1184,489
Bottled water,2,1700,728
Bottled water,9,1,1
Burgers (single code),1,135,119
Burgers (single code),2,125,113
Burritos and tacos,1,147,114
Burritos and tacos,2,195,154
Butter and animal fats,1,254,162
Butter and animal fats,2,267,204
Cakes and pies,1,249,201
Cakes and pies,2,348,287
Candy containing chocolate,1,272,200
Candy containing chocolate,2,261,210
Candy containing chocolate,9,1,1
Candy not containing chocolate,1,197,157
Candy not containing chocolate,2,234,191
Carrots,1,164,129
Carrots,2,140,118
Carrots,9,1,1
Cereal bars,1,96,68
Cereal bars,2,51,40
Cheese,1,783,495
Cheese,2,831,561
"Chicken patties, nuggets and tenders",1,96,89
"Chicken patties, nuggets and tenders",2,71,67
"Chicken, whole pieces",1,617,423
"Chicken, whole pieces",2,830,554
"Chicken, whole pieces",9,1,1
Chicken/turkey sandwiches (single code),1,88,74
Chicken/turkey sandwiches (single code),2,53,44
Citrus fruits,1,165,123
Citrus fruits,2,231,173
Citrus juice,1,292,206
Citrus juice,2,470,317
Citrus juice,9,2,1
Coffee,1,1078,496
Coffee,2,1962,931
Coffee,9,2,1
Cold cuts and cured meats,1,448,317
Cold cuts and cured meats,2,618,453
Cold cuts and cured meats,9,1,1
Cookies and brownies,1,481,336
Cookies and brownies,2,638,466
Corn,1,111,102
Corn,2,109,100
Cottage/ricotta cheese,1,14,14
Cottage/ricotta cheese,2,27,23
"Crackers, excludes saltines",1,209,171
"Crackers, excludes saltines",2,246,194
Cream and cream substitutes,1,464,247
Cream and cream substitutes,2,616,349
"Cream cheese, sour cream, whipped cream",1,117,97
"Cream cheese, sour cream, whipped cream",2,107,90
"Dark green vegetables, excludes lettuce",1,212,164
"Dark green vegetables, excludes lettuce",2,262,212
Diet soft drinks,1,330,147
Diet soft drinks,2,402,198
Diet sport and energy drinks,1,7,7
Diet sport and energy drinks,2,1,1
"Dips, gravies, other sauces",1,213,167
"Dips, gravies, other sauces",2,249,186
"Doughnuts, sweet rolls, pastries",1,201,161
"Doughnuts, sweet rolls, pastries",2,302,245
"Doughnuts, sweet rolls, pastries",9,3,1
Dried fruits,1,55,42
Dried fruits,2,60,49
"Egg rolls, dumplings, sushi",1,50,41
"Egg rolls, dumplings, sushi",2,67,55
Egg/breakfast sandwiches (single code),1,74,67
Egg/breakfast sandwiches (single code),2,95,81
Eggs and omelets,1,436,347
Eggs and omelets,2,718,554
Enhanced or fortified water,1,26,18
Enhanced or fortified water,2,18,13
Fish,1,200,164
Fish,2,325,254
"Flavored milk, lowfat",1,14,12
"Flavored milk, lowfat",2,7,7
"Flavored milk, nonfat",2,2,2
"Flavored milk, reduced fat",1,17,17
"Flavored milk, reduced fat",2,24,20
"Flavored milk, whole",1,15,12
"Flavored milk, whole",2,27,24
Flavored or carbonated water,1,32,26
Flavored or carbonated water,2,36,26
Frankfurter sandwiches (single code),1,88,80
Frankfurter sandwiches (single code),2,88,80
Frankfurters,1,33,31
Frankfurters,2,37,33
French fries and other fried white potatoes,1,403,300
French fries and other fried white potatoes,2,382,314
Fried rice and lo/chow mein,1,81,64
Fried rice and lo/chow mein,2,102,81
Fruit drinks,1,456,299
Fruit drinks,2,536,370
"Gelatins, ices, sorbets",1,53,44
"Gelatins, ices, sorbets",2,76,69
Grapes,1,98,76
Grapes,2,155,123
Grits and other cooked cereals,1,45,40
Grits and other cooked cereals,2,132,105
Ground beef,1,141,129
Ground beef,2,146,131
Ice cream and frozen dairy desserts,1,301,252
Ice cream and frozen dairy desserts,2,372,312
"Jams, syrups, toppings",1,258,197
"Jams, syrups, toppings",2,280,218
"Lamb, goat, game",1,17,14
"Lamb, goat, game",2,23,22
Lettuce and lettuce salads,1,521,364
Lettuce and lettuce salads,2,635,462
Lettuce and lettuce salads,9,2,2
Liquor and cocktails,1,144,110
Liquor and cocktails,2,119,84
Liver and organ meats,1,8,8
Liver and organ meats,2,20,19
Macaroni and cheese,1,84,76
Macaroni and cheese,2,107,94
Margarine,1,220,152
Margarine,2,339,231
Mashed potatoes and white potato mixtures,1,217,192
Mashed potatoes and white potato mixtures,2,282,236
Mashed potatoes and white potato mixtures,9,2,1
Mayonnaise,1,320,246
Mayonnaise,2,431,332
Mayonnaise,9,1,1
Meat mixed dishes,1,226,189
Meat mixed dishes,2,345,290
Meat mixed dishes,9,3,2
Melons,1,95,65
Melons,2,144,109
Milk shakes and other dairy drinks,1,39,35
Milk shakes and other dairy drinks,2,41,34
Milk substitutes,1,59,37
Milk substitutes,2,62,49
"Milk, lowfat",1,182,84
"Milk, lowfat",2,211,125
"Milk, nonfat",1,123,68
"Milk, nonfat",2,161,92
"Milk, reduced fat",1,391,215
"Milk, reduced fat",2,692,369
"Milk, reduced fat",9,1,1
"Milk, whole",1,235,146
"Milk, whole",2,471,261
"Milk, whole",9,2,1
Mustard and other condiments,1,383,266
Mustard and other condiments,2,404,299
Nachos,1,15,15
Nachos,2,17,16
Not included in a food category,1,33,22
Not included in a food category,2,78,66
Nutrition bars,1,18,12
Nutrition bars,2,10,8
Nutritional beverages,1,36,23
Nutritional beverages,2,52,32
Nuts and seeds,1,418,265
Nuts and seeds,2,421,292
Nuts and seeds,9,2,1
Oatmeal,1,144,107
Oatmeal,2,242,164
"Olives, pickles, pickled vegetables",1,157,119
"Olives, pickles, pickled vegetables",2,199,141
Onions,1,224,175
Onions,2,249,209
Other Mexican mixed dishes,1,69,58
Other Mexican mixed dishes,2,129,108
Other diet drinks,1,43,23
Other diet drinks,2,42,26
Other fruit juice,1,150,105
Other fruit juice,2,198,142
Other fruits and fruit salads,1,186,146
Other fruits and fruit salads,2,327,225
Other red and orange vegetables,1,53,49
Other red and orange vegetables,2,89,81
Other sandwiches (single code),1,54,50
Other sandwiches (single code),2,66,56
Other starchy vegetables,1,71,67
Other starchy vegetables,2,145,121
Other vegetables and combinations,1,485,311
Other vegetables and combinations,2,676,452
Other vegetables and combinations,9,2,2
"Pancakes, waffles, French toast",1,101,88
"Pancakes, waffles, French toast",2,110,98
"Pasta mixed dishes, excludes macaroni and cheese",1,171,139
"Pasta mixed dishes, excludes macaroni and cheese",2,207,170
"Pasta sauces, tomato-based",1,36,34
"Pasta sauces, tomato-based",2,33,31
"Pasta, noodles, cooked grains",1,61,59
"Pasta, noodles, cooked grains",2,88,82
Peaches and nectarines,1,42,37
Peaches and nectarines,2,122,100
Pizza,1,225,172
Pizza,2,186,155
Popcorn,1,88,80
Popcorn,2,76,72
Pork,1,142,125
Pork,2,323,258
Potato chips,1,280,228
Potato chips,2,316,272
Poultry mixed dishes,1,131,108
Poultry mixed dishes,2,218,180
Pretzels/snack mix,1,76,62
Pretzels/snack mix,2,43,37
Processed soy products,1,10,8
Processed soy products,2,25,23
Protein and nutritional powders,1,41,27
Protein and nutritional powders,2,19,14
Pudding,1,42,34
Pudding,2,56,50
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",1,261,206
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",2,254,211
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",9,1,1
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",1,179,133
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",2,279,209
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",9,1,1
Rice,1,339,235
Rice,2,837,480
Rice,9,1,1
Rice mixed dishes,1,136,117
Rice mixed dishes,2,211,163
Rolls and buns,1,356,281
Rolls and buns,2,413,330
Rolls and buns,9,3,2
Salad dressings and vegetable oils,1,370,268
Salad dressings and vegetable oils,2,345,267
Salad dressings and vegetable oils,9,1,1
Saltine crackers,1,84,79
Saltine crackers,2,168,141
Sausages,1,149,130
Sausages,2,240,196
Seafood mixed dishes,1,88,79
Seafood mixed dishes,2,123,105
Shellfish,1,93,64
Shellfish,2,120,102
Soft drinks,1,968,483
Soft drinks,2,1273,662
Soft drinks,9,3,2
Soups,1,309,220
Soups,2,609,393
Soy-based condiments,1,83,60
Soy-based condiments,2,102,79
Sport and energy drinks,1,118,82
Sport and energy drinks,2,132,91
Sport and energy drinks,9,2,1
Stir-fry and soy-based sauce mixtures,1,104,79
Stir-fry and soy-based sauce mixtures,2,142,99
String beans,1,135,122
String beans,2,172,153
Sugar substitutes,1,230,122
Sugar substitutes,2,402,193
Sugars and honey,1,555,318
Sugars and honey,2,1129,601
Sugars and honey,9,2,1
Tap water,1,1713,649
Tap water,2,2289,917
Tap water,9,1,1
Tea,1,758,402
Tea,2,947,489
Tea,9,2,2
Tomato-based condiments,1,537,343
Tomato-based condiments,2,535,351
Tomatoes,1,405,299
Tomatoes,2,561,420
Tomatoes,9,1,1
"Tortilla, corn, other chips",1,267,214
"Tortilla, corn, other chips",2,201,169
Tortillas,1,95,70
Tortillas,2,292,193
Tortillas,9,2,1
"Turkey, duck, other poultry",1,60,51
"Turkey, duck, other poultry",2,81,65
Turnovers and other grain-based items,1,59,51
Turnovers and other grain-based items,2,69,60
Vegetable juice,1,22,17
Vegetable juice,2,49,35
Vegetable mixed dishes,1,91,80
Vegetable mixed dishes,2,178,146
"White potatoes, baked or boiled",1,65,62
"White potatoes, baked or boiled",2,127,104
"White potatoes, baked or boiled",9,1,1
Wine,1,127,88
Wine,2,121,90
Yeast breads,1,1022,605
Yeast breads,2,1591,917
"Yogurt, lowfat and nonfat",1,126,101
"Yogurt, lowfat and nonfat",2,150,102
"Yogurt, whole and reduced fat",1,18,16
"Yogurt, whole and reduced fat",2,43,33
~ALL~,1,30185,1032
~ALL~,2,41275,1534
~ALL~,9,50,2
