cat,var,count,uniq_count
Apple juice,1,35,27
Apple juice,2,66,52
Apple juice,3,142,111
Apple juice,4,52,41
Apple juice,5,17,13
Apples,1,170,127
Apples,2,321,223
Apples,3,515,396
Apples,4,188,149
Apples,5,26,22
Baby food: cereals,2,1,1
Baby food: fruit,3,1,1
Baby food: snacks and sweets,1,1,1
Baby food: vegetable,2,1,1
Baby food: vegetable,3,1,1
Baby food: yogurt,3,1,1
Baby water,2,1,1
Baby water,3,2,2
Bacon,1,49,46
Bacon,2,172,139
Bacon,3,358,295
Bacon,4,174,139
Bacon,5,45,39
Bagels and English muffins,1,35,28
Bagels and English muffins,2,135,108
Bagels and English muffins,3,203,169
Bagels and English muffins,4,98,83
Bagels and English muffins,5,21,15
Bagels and English muffins,9,2,1
Bananas,1,233,158
Bananas,2,472,319
Bananas,3,725,536
Bananas,4,260,201
Bananas,5,44,35
Bananas,9,2,2
"Beans, peas, legumes",1,149,106
"Beans, peas, legumes",2,237,200
"Beans, peas, legumes",3,519,395
"Beans, peas, legumes",4,241,186
"Beans, peas, legumes",5,49,41
"Beans, peas, legumes",9,1,1
"Beef, excludes ground",1,81,66
"Beef, excludes ground",2,213,184
"Beef, excludes ground",3,445,386
"Beef, excludes ground",4,239,199
"Beef, excludes ground",5,53,46
"Beef, excludes ground",9,4,2
Beer,1,110,82
Beer,2,235,154
Beer,3,456,324
Beer,4,254,171
Beer,5,63,44
Berries,1,166,102
Berries,2,228,160
Berries,3,257,191
Berries,4,71,57
Berries,5,12,10
"Biscuits, muffins, quick breads",1,89,73
"Biscuits, muffins, quick breads",2,190,152
"Biscuits, muffins, quick breads",3,394,331
"Biscuits, muffins, quick breads",4,194,154
"Biscuits, muffins, quick breads",5,47,37
Bottled water,1,468,199
Bottled water,2,1114,458
Bottled water,3,2533,1048
Bottled water,4,1319,575
Bottled water,5,289,127
Bottled water,9,5,2
Burgers (single code),1,22,21
Burgers (single code),2,78,72
Burgers (single code),3,216,189
Burgers (single code),4,123,109
Burgers (single code),5,48,43
Burritos and tacos,1,42,37
Burritos and tacos,2,106,87
Burritos and tacos,3,312,252
Burritos and tacos,4,210,160
Burritos and tacos,5,57,46
Butter and animal fats,1,112,74
Butter and animal fats,2,291,195
Butter and animal fats,3,464,348
Butter and animal fats,4,193,146
Butter and animal fats,5,46,33
Butter and animal fats,9,2,1
Cakes and pies,1,87,74
Cakes and pies,2,272,216
Cakes and pies,3,552,452
Cakes and pies,4,235,200
Cakes and pies,5,45,41
Cakes and pies,9,1,1
Candy containing chocolate,1,103,79
Candy containing chocolate,2,279,216
Candy containing chocolate,3,484,372
Candy containing chocolate,4,239,188
Candy containing chocolate,5,68,51
Candy not containing chocolate,1,95,76
Candy not containing chocolate,2,190,150
Candy not containing chocolate,3,443,343
Candy not containing chocolate,4,260,210
Candy not containing chocolate,5,60,43
Candy not containing chocolate,9,1,1
Carrots,1,95,76
Carrots,2,206,173
Carrots,3,298,251
Carrots,4,113,95
Carrots,5,28,24
Cereal bars,1,23,16
Cereal bars,2,119,95
Cereal bars,3,172,127
Cereal bars,4,71,54
Cereal bars,5,14,11
Cheese,1,307,195
Cheese,2,807,500
Cheese,3,1508,983
Cheese,4,790,499
Cheese,5,195,128
Cheese,9,4,3
"Chicken patties, nuggets and tenders",1,24,22
"Chicken patties, nuggets and tenders",2,59,55
"Chicken patties, nuggets and tenders",3,169,153
"Chicken patties, nuggets and tenders",4,103,98
"Chicken patties, nuggets and tenders",5,31,30
"Chicken, whole pieces",1,236,166
"Chicken, whole pieces",2,556,404
"Chicken, whole pieces",3,1150,816
"Chicken, whole pieces",4,576,389
"Chicken, whole pieces",5,176,115
Chicken/turkey sandwiches (single code),1,24,18
Chicken/turkey sandwiches (single code),2,43,41
Chicken/turkey sandwiches (single code),3,127,113
Chicken/turkey sandwiches (single code),4,89,80
Chicken/turkey sandwiches (single code),5,19,18
Citrus fruits,1,103,74
Citrus fruits,2,216,149
Citrus fruits,3,364,273
Citrus fruits,4,140,109
Citrus fruits,5,28,25
Citrus juice,1,135,94
Citrus juice,2,342,229
Citrus juice,3,586,408
Citrus juice,4,239,185
Citrus juice,5,47,40
Citrus juice,9,1,1
Coffee,1,628,276
Coffee,2,1431,634
Coffee,3,2572,1196
Coffee,4,1140,555
Coffee,5,216,108
Coffee,9,2,1
Cold cuts and cured meats,1,166,117
Cold cuts and cured meats,2,418,309
Cold cuts and cured meats,3,922,673
Cold cuts and cured meats,4,438,307
Cold cuts and cured meats,5,120,90
Cookies and brownies,1,195,133
Cookies and brownies,2,544,376
Cookies and brownies,3,951,689
Cookies and brownies,4,460,341
Cookies and brownies,5,117,90
Cookies and brownies,9,2,1
Corn,1,56,50
Corn,2,99,90
Corn,3,174,162
Corn,4,127,113
Corn,5,18,18
Cottage/ricotta cheese,1,19,17
Cottage/ricotta cheese,2,33,29
Cottage/ricotta cheese,3,54,48
Cottage/ricotta cheese,4,14,13
Cottage/ricotta cheese,5,2,2
"Crackers, excludes saltines",1,96,75
"Crackers, excludes saltines",2,261,212
"Crackers, excludes saltines",3,441,352
"Crackers, excludes saltines",4,217,169
"Crackers, excludes saltines",5,53,40
Cream and cream substitutes,1,205,104
Cream and cream substitutes,2,546,285
Cream and cream substitutes,3,992,556
Cream and cream substitutes,4,436,249
Cream and cream substitutes,5,86,51
"Cream cheese, sour cream, whipped cream",1,40,34
"Cream cheese, sour cream, whipped cream",2,144,119
"Cream cheese, sour cream, whipped cream",3,221,190
"Cream cheese, sour cream, whipped cream",4,119,100
"Cream cheese, sour cream, whipped cream",5,17,13
"Cream cheese, sour cream, whipped cream",9,1,1
"Dark green vegetables, excludes lettuce",1,132,101
"Dark green vegetables, excludes lettuce",2,303,226
"Dark green vegetables, excludes lettuce",3,450,358
"Dark green vegetables, excludes lettuce",4,136,119
"Dark green vegetables, excludes lettuce",5,30,25
"Dark green vegetables, excludes lettuce",9,1,1
Diet soft drinks,1,111,62
Diet soft drinks,2,376,192
Diet soft drinks,3,685,347
Diet soft drinks,4,329,146
Diet soft drinks,5,112,44
Diet sport and energy drinks,1,1,1
Diet sport and energy drinks,2,10,7
Diet sport and energy drinks,3,12,12
Diet sport and energy drinks,4,1,1
Diet sport and energy drinks,5,1,1
"Dips, gravies, other sauces",1,84,67
"Dips, gravies, other sauces",2,225,177
"Dips, gravies, other sauces",3,398,304
"Dips, gravies, other sauces",4,203,151
"Dips, gravies, other sauces",5,51,47
"Dips, gravies, other sauces",9,1,1
"Doughnuts, sweet rolls, pastries",1,63,55
"Doughnuts, sweet rolls, pastries",2,181,149
"Doughnuts, sweet rolls, pastries",3,434,351
"Doughnuts, sweet rolls, pastries",4,239,193
"Doughnuts, sweet rolls, pastries",5,67,52
Dried fruits,1,84,55
Dried fruits,2,114,86
Dried fruits,3,109,89
Dried fruits,4,33,30
Dried fruits,5,7,4
"Egg rolls, dumplings, sushi",1,28,21
"Egg rolls, dumplings, sushi",2,73,63
"Egg rolls, dumplings, sushi",3,128,101
"Egg rolls, dumplings, sushi",4,49,42
"Egg rolls, dumplings, sushi",5,11,10
Egg/breakfast sandwiches (single code),1,24,24
Egg/breakfast sandwiches (single code),2,57,51
Egg/breakfast sandwiches (single code),3,150,130
Egg/breakfast sandwiches (single code),4,106,95
Egg/breakfast sandwiches (single code),5,30,24
Eggs and omelets,1,220,169
Eggs and omelets,2,509,389
Eggs and omelets,3,967,756
Eggs and omelets,4,439,358
Eggs and omelets,5,116,88
Enhanced or fortified water,1,4,3
Enhanced or fortified water,2,21,15
Enhanced or fortified water,3,53,34
Enhanced or fortified water,4,23,16
Enhanced or fortified water,5,4,4
Enhanced or fortified water,9,1,1
Fish,1,116,90
Fish,2,285,221
Fish,3,449,365
Fish,4,152,129
Fish,5,33,31
"Flavored milk, lowfat",1,2,2
"Flavored milk, lowfat",2,12,11
"Flavored milk, lowfat",3,14,13
"Flavored milk, lowfat",4,9,7
"Flavored milk, nonfat",2,5,5
"Flavored milk, nonfat",3,3,3
"Flavored milk, reduced fat",1,7,6
"Flavored milk, reduced fat",2,14,13
"Flavored milk, reduced fat",3,36,31
"Flavored milk, reduced fat",4,17,15
"Flavored milk, reduced fat",5,3,3
"Flavored milk, reduced fat",9,1,1
"Flavored milk, whole",1,5,4
"Flavored milk, whole",2,12,10
"Flavored milk, whole",3,38,35
"Flavored milk, whole",4,27,25
"Flavored milk, whole",5,7,6
Flavored or carbonated water,1,21,16
Flavored or carbonated water,2,50,37
Flavored or carbonated water,3,85,54
Flavored or carbonated water,4,46,34
Flavored or carbonated water,5,8,5
Frankfurter sandwiches (single code),1,12,12
Frankfurter sandwiches (single code),2,45,43
Frankfurter sandwiches (single code),3,150,139
Frankfurter sandwiches (single code),4,103,92
Frankfurter sandwiches (single code),5,30,28
Frankfurters,1,18,15
Frankfurters,2,28,27
Frankfurters,3,51,46
Frankfurters,4,28,25
Frankfurters,5,13,11
