SEQN,SDDSRVYR,RIDSTATR,RIDEXMON,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDAGEEX,RIDRETH1,DMQMILIT,DMDBORN2,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDSCHOL,DMDMARTL,DMDHHSIZ,DMDFMSIZ,INDHHIN2,INDFMIN2,INDFMPIR,RIDEXPRG,DMDHRGND,DMDHRAGE,DMDHRBR2,DMDHREDU,DMDHRMAR,DMDHSEDU,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANG,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA
51624,6,2,1,1,34,409,410,3,2,1,1,0,0,3,0,1,4,4,6,6,1,0,1,34,1,3,1,3,1,2,2,1,2,2,1,2,2,1,80100,81528,1,83
51625,6,2,2,1,4,49,50,5,0,1,1,0,0,0,0,0,4,4,5,5,1,0,1,38,5,5,1,5,1,1,2,1,2,2,0,0,0,0,53901,56995,2,79
51626,6,2,1,1,16,202,202,4,0,1,1,0,8,0,1,0,4,4,8,8,2,0,1,47,1,1,77,0,1,2,2,1,2,2,1,2,2,1,13953,14509,1,84
51627,6,2,1,1,10,131,132,4,0,1,1,0,4,0,1,0,6,6,5,5,0,0,1,53,1,3,6,0,1,1,2,1,2,2,1,2,2,0,11664,12041,2,86
51628,6,2,2,2,60,722,722,4,2,1,1,0,0,3,0,2,2,2,3,3,0,0,2,60,1,3,2,0,1,2,2,1,2,2,1,2,2,1,20090,21000,2,75
51629,6,2,1,1,26,313,313,1,2,1,1,0,0,2,0,1,5,5,6,6,1,0,2,57,1,2,3,0,1,2,2,1,2,2,1,2,2,1,22537,22633,1,88
51630,6,2,1,2,49,596,596,3,2,1,1,0,0,4,0,6,3,3,7,7,1,0,2,49,1,4,6,0,1,2,2,1,2,2,1,2,2,1,74212,74112,2,85
51631,6,2,1,2,1,12,12,3,0,1,1,0,0,0,0,0,5,5,7,7,1,0,1,31,5,5,1,5,1,1,2,1,2,2,0,0,0,0,23306,24776,2,86
51632,6,2,1,1,10,124,126,2,0,1,1,0,3,0,1,0,5,5,10,10,2,0,2,36,4,5,1,5,1,1,2,1,2,2,1,2,2,0,8056,8175,2,88
51633,6,2,2,1,80,0,0,3,2,1,1,0,0,4,0,1,2,2,4,4,1,0,1,80,1,4,1,1,1,2,2,1,2,2,1,2,2,0,11998,12381,1,77
51634,6,2,2,1,10,121,121,1,0,1,1,0,5,0,1,0,4,4,5,5,0,0,1,35,2,1,1,4,2,1,2,1,2,2,1,2,2,0,9805,10232,1,86
51635,6,2,2,1,80,0,0,3,2,1,1,0,0,2,0,2,1,1,4,4,1,0,1,80,1,2,2,0,1,2,2,1,2,2,1,2,2,0,21806,22502,1,79
51636,6,1,0,1,4,48,0,5,0,1,1,0,0,0,0,0,4,4,6,6,1,0,2,35,1,4,5,0,1,1,2,1,2,2,0,0,0,0,11466,0,2,84
51637,6,1,0,2,35,431,0,3,2,1,1,0,0,4,0,1,5,5,0,0,0,3,2,35,1,4,1,0,1,2,2,0,0,0,0,0,0,0,70234,0,2,77
51638,6,2,1,1,9,115,116,3,0,1,1,0,3,0,1,0,7,7,14,14,1,0,1,53,1,3,1,2,1,1,2,1,2,2,1,2,2,0,29727,30213,1,88
51639,6,2,2,1,4,58,59,1,0,1,1,0,0,0,0,0,7,7,7,7,0,0,1,32,2,4,1,2,1,1,2,1,2,2,0,0,0,0,9011,9010,1,89
51640,6,2,1,1,17,208,209,2,2,1,1,0,10,0,1,0,7,7,3,3,0,0,1,42,0,0,6,0,1,2,2,1,2,2,1,2,2,1,11445,11890,1,81
51641,6,2,2,1,13,156,156,4,0,1,1,0,7,0,1,0,5,5,14,14,2,0,2,36,1,4,1,4,1,1,2,1,2,2,1,2,2,1,14703,14981,1,79
51642,6,2,1,1,7,85,85,1,0,1,1,0,0,0,0,0,7,7,13,13,0,0,1,49,2,3,6,0,2,1,2,2,2,2,0,0,0,0,8120,8432,2,88
51643,6,2,1,2,42,514,516,4,2,1,1,0,0,2,0,1,3,3,7,7,2,2,1,43,1,4,1,2,1,2,2,1,2,2,1,2,2,1,39087,40755,2,75
51644,6,2,1,1,0,9,10,3,0,1,1,0,0,0,0,0,7,7,12,12,0,0,2,80,1,3,2,0,1,1,2,1,2,2,0,0,0,0,24620,24254,2,80
51645,6,2,1,1,66,795,797,1,2,1,1,0,0,2,0,1,2,2,2,2,0,0,2,63,1,2,1,2,2,2,2,1,2,2,2,2,2,1,9286,9590,1,75
51646,6,2,2,1,8,101,102,3,0,1,1,0,2,0,2,0,5,5,9,9,2,0,1,40,1,3,1,5,1,1,2,1,2,2,1,2,2,0,39300,39941,1,77
51647,6,2,2,2,45,541,542,3,2,1,1,0,0,5,0,1,2,2,14,14,5,0,1,48,1,5,1,5,1,2,2,1,2,2,1,2,2,1,86635,89078,2,78
51648,6,2,2,1,28,338,339,1,2,2,2,3,0,1,0,5,7,1,3,1,0,0,2,46,2,1,1,1,2,2,2,1,2,2,2,2,2,2,23137,22547,1,76
51649,6,2,2,2,8,107,108,4,0,1,1,0,3,0,2,0,7,7,3,3,0,0,2,31,1,4,6,0,1,1,2,1,2,2,1,2,2,0,14322,14740,2,78
51650,6,2,2,2,11,139,140,1,0,1,1,0,4,0,1,0,4,4,6,6,1,0,1,50,2,2,1,1,1,1,2,1,2,2,1,2,2,0,10278,10858,1,86
51651,6,2,1,2,19,232,232,4,2,1,1,0,13,0,2,0,7,7,5,5,0,0,2,46,5,3,4,0,1,2,2,1,2,2,1,2,2,1,18878,19233,2,82
51652,6,2,2,2,1,12,13,1,0,1,1,0,0,0,0,0,3,3,6,6,1,0,2,33,1,2,1,1,1,1,2,1,2,2,0,0,0,0,10555,11171,1,87
51653,6,2,2,1,44,539,540,3,2,1,1,0,0,3,0,3,1,1,8,8,4,0,1,44,1,3,3,0,1,2,2,1,2,2,1,2,2,1,90639,93833,2,79
51654,6,2,1,1,66,795,797,3,2,1,1,0,0,4,0,1,2,2,6,6,2,0,1,66,1,4,1,1,1,2,2,1,2,2,1,2,2,1,56052,55670,2,86
51655,6,2,1,2,49,593,594,1,2,2,2,7,0,1,0,1,4,4,6,6,1,0,2,40,2,3,6,0,2,2,2,2,2,2,2,2,2,2,18366,18929,1,82
51656,6,2,2,1,58,707,707,3,2,5,1,9,0,5,0,3,3,3,15,15,5,0,1,58,5,5,3,0,1,2,2,1,2,2,1,2,2,1,99572,101200,2,77
51657,6,2,2,1,54,654,654,3,1,1,1,0,0,2,0,1,6,6,10,10,2,0,1,54,1,2,1,4,1,2,2,1,2,2,1,2,2,1,16965,17242,1,76
51658,6,2,2,2,26,321,321,1,2,2,2,3,0,3,0,1,7,7,8,8,1,2,1,49,2,2,1,2,1,2,2,1,2,2,2,2,2,2,16111,16034,1,85
51659,6,2,2,2,10,123,124,3,0,1,1,0,4,0,2,0,5,5,12,12,0,0,1,43,5,5,1,4,1,1,2,1,2,2,1,2,2,0,36919,37760,2,77
51660,6,2,2,1,32,394,394,1,2,2,2,5,0,1,0,5,5,5,6,6,0,0,1,32,2,1,5,0,2,2,2,2,2,2,2,2,2,0,23610,25129,1,78
51661,6,2,1,2,60,722,722,1,2,2,2,8,0,3,0,1,2,2,7,7,2,0,1,67,2,1,1,3,2,2,2,1,2,2,1,2,2,2,6017,6385,2,88
51662,6,2,1,2,44,530,530,1,2,1,1,0,0,2,0,1,5,5,15,15,3,2,2,44,1,2,1,0,1,2,2,1,2,2,1,2,2,1,17546,18084,2,86
51663,6,2,2,2,18,226,226,2,2,4,2,1,13,0,2,0,5,5,5,5,0,0,2,51,4,2,4,0,2,2,2,2,2,2,1,2,2,2,13887,14104,2,77
51664,6,2,1,2,53,644,645,3,2,1,1,0,0,5,0,1,2,2,15,15,5,0,2,53,1,5,1,5,1,2,2,1,2,2,1,2,2,1,78599,79625,1,84
51665,6,2,1,2,3,47,47,3,0,1,1,0,0,0,0,0,3,3,3,3,0,0,2,27,1,3,5,0,1,1,2,1,2,2,0,0,0,0,13382,14226,2,80
51666,6,2,1,2,58,700,701,1,2,1,1,0,0,3,0,1,7,7,14,14,2,0,1,37,1,3,1,3,1,2,2,1,2,2,0,0,0,0,9520,9566,2,85
51667,6,2,1,1,50,603,603,3,2,5,1,5,0,4,0,5,2,2,4,4,1,0,1,55,5,4,5,0,1,2,2,1,2,2,1,2,2,1,77981,82236,1,85
51668,6,2,1,2,70,842,842,4,2,1,1,0,0,2,0,3,2,2,2,2,0,0,2,70,1,2,3,0,1,2,2,1,2,2,1,2,2,0,12778,13372,1,84
51669,6,2,1,2,65,780,781,1,2,2,2,7,0,1,0,1,7,7,4,4,0,0,2,65,2,1,1,1,2,1,2,2,2,2,2,2,2,2,6068,5845,2,86
51670,6,2,2,1,22,269,269,3,2,1,1,0,0,5,0,5,4,1,8,2,0,0,1,21,1,5,5,0,1,2,2,1,2,2,1,2,2,1,28070,29193,1,79
51671,6,2,2,2,9,112,112,4,0,1,1,0,2,0,1,0,3,3,99,99,0,0,2,28,1,3,5,0,1,1,2,1,2,2,1,2,2,0,10960,11208,2,89
51672,6,2,1,2,27,333,335,3,2,1,1,0,0,2,0,1,4,4,8,8,2,2,1,36,1,3,1,2,1,2,2,1,2,2,0,0,0,0,88885,90562,1,83
51673,6,2,2,2,30,360,361,3,2,1,1,0,0,3,0,1,4,4,4,4,0,2,1,29,1,3,1,3,1,2,2,1,2,2,1,2,2,1,21345,21763,2,81
51674,6,1,0,2,40,491,0,3,2,5,1,6,0,4,0,1,2,2,0,0,0,3,2,40,5,4,1,0,1,2,2,0,0,0,0,0,0,0,74719,0,2,87
51675,6,2,1,2,80,0,0,3,2,1,1,0,0,2,0,1,2,2,5,5,1,0,1,80,1,1,1,2,1,2,2,1,2,2,0,0,0,0,22147,23251,1,84
51676,6,2,2,1,27,335,336,4,2,1,1,0,0,4,0,5,6,6,14,14,2,0,2,77,1,3,5,0,1,2,2,1,2,2,1,2,2,1,18673,19399,1,89
51677,6,2,2,1,33,404,405,3,2,1,1,0,0,3,0,1,4,4,6,6,1,0,2,40,1,2,1,3,1,2,2,1,2,2,1,2,2,1,18545,18875,2,76
51678,6,2,1,1,60,721,722,3,2,1,1,0,0,3,0,1,2,2,4,4,1,0,2,58,1,3,1,3,1,2,2,1,2,2,1,2,2,1,63539,63106,1,81
51679,6,2,2,1,16,194,194,5,0,1,1,0,10,0,2,0,5,5,12,12,0,0,1,50,5,5,1,5,1,2,2,1,2,2,1,2,2,1,52064,51984,2,77
51680,6,2,2,2,60,727,727,4,2,1,1,0,0,4,0,5,1,1,6,6,2,0,2,60,1,4,5,0,1,2,2,1,2,2,1,2,2,1,17546,18341,1,79
