SEQN,OCD150,OCQ180,OCQ210,OCQ260,OCD270,OCQ275,OCQ380,OCD390G,OCD395,OCQ510,OCQ520,OCQ530,OCQ540,OCQ550,OCQ560,OCQ570,OCQ580
62161,1,99999,2,4,12,2,0,2,0,2,0,2,0,2,0,1,1
62164,1,42,0,1,36,2,0,1,120,2,0,2,0,2,0,2,0
62169,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
62172,4,0,0,0,0,0,5,1,120,2,0,2,0,2,0,2,0
62174,4,0,0,0,0,0,3,1,300,0,0,0,0,0,0,0,0
62176,4,0,0,0,0,0,1,1,96,2,0,2,0,2,0,2,0
62177,3,0,0,0,0,0,0,1,120,1,10,2,0,1,10,1,10
62178,4,0,0,0,0,0,3,1,720,0,0,0,0,0,0,0,0
62179,1,40,0,3,48,2,0,1,144,2,0,2,0,2,0,2,0
62180,1,45,0,1,60,2,0,2,0,1,1,1,0,1,7,1,0
62182,1,30,2,1,360,1,0,2,0,1,30,2,0,1,30,1,30
62184,1,40,0,4,72,2,0,2,0,1,2,1,6,1,6,2,0
62185,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
62186,4,0,0,0,0,0,2,1,3,2,0,2,0,2,0,2,0
62189,1,36,0,1,36,2,0,1,72,2,0,2,0,2,0,2,0
62191,4,0,0,0,0,0,6,1,360,1,30,1,30,2,0,1,30
62193,4,0,0,0,0,0,2,1,4,2,0,2,0,2,0,2,0
62195,1,60,0,1,13,2,0,2,0,2,0,2,0,2,0,2,0
62197,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
62199,1,40,0,5,16,1,0,1,300,1,1,2,0,2,0,1,1
62200,1,55,0,1,120,2,0,2,0,2,0,2,0,2,0,2,0
62201,4,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
62202,1,40,0,1,132,1,0,2,0,1,0,1,10,1,10,1,10
62205,1,30,1,1,18,2,0,1,36,1,1,2,0,2,0,2,0
62206,1,42,0,1,108,2,0,2,0,2,0,2,0,2,0,1,9
62208,1,50,0,1,48,2,0,1,84,2,0,2,0,1,12,1,7
62209,4,0,0,0,0,0,1,1,36,1,3,2,0,2,0,2,0
62211,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
62214,4,0,0,0,0,0,1,1,7,2,0,2,0,2,0,2,0
62215,4,0,0,0,0,0,3,1,48,2,0,2,0,2,0,2,0
62217,4,0,0,0,0,0,3,1,96,1,8,1,8,2,0,2,0
62218,4,0,0,0,0,0,7,1,120,2,0,2,0,2,0,2,0
62220,1,40,0,1,72,2,0,2,0,1,5,2,0,2,0,2,0
62221,1,60,0,3,192,1,0,2,0,1,5,2,0,1,2,2,0
62222,1,52,0,1,20,2,0,2,0,1,0,2,0,2,0,1,0
62223,3,0,0,0,0,0,0,1,144,1,10,2,0,1,8,1,2
62224,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
62226,4,0,0,0,0,0,3,1,300,0,0,0,0,0,0,0,0
62227,1,30,2,1,36,2,0,2,0,2,0,2,0,2,0,2,0
62228,1,75,0,1,336,2,0,2,0,2,0,2,0,1,6,1,12
62229,1,40,0,1,60,2,0,2,0,1,2,2,0,2,0,2,0
62230,4,0,0,0,0,0,3,1,480,1,40,1,40,1,40,1,19
62231,1,47,0,1,36,2,0,2,0,2,0,2,0,2,0,2,0
62232,1,24,1,1,10,2,0,2,0,2,0,2,0,2,0,2,0
62233,4,0,0,0,0,0,6,1,120,2,0,2,0,2,0,1,11
62234,1,40,0,1,60,2,0,2,0,1,5,1,5,1,1,1,5
62236,1,30,2,5,240,2,0,1,240,2,0,2,0,1,20,2,0
62237,4,0,0,0,0,0,3,1,240,2,0,2,0,2,0,2,0
62239,1,20,2,1,24,2,0,1,27,2,0,1,2,2,0,1,5
62242,1,40,0,5,60,2,0,2,0,1,5,2,0,1,5,2,0
62248,4,0,0,0,0,0,4,7,0,7,0,7,0,7,0,7,0
62249,1,40,0,3,36,2,0,2,0,2,0,2,0,2,0,2,0
62250,1,48,0,1,60,2,0,2,0,2,0,2,0,2,0,2,0
62251,1,40,0,3,372,2,0,2,0,2,0,2,0,2,0,2,0
62253,1,40,0,1,72,2,0,2,0,1,1,2,0,2,0,2,0
62255,4,0,0,0,0,0,6,1,240,2,0,2,0,1,12,2,0
62256,4,0,0,0,0,0,3,1,240,0,0,0,0,0,0,0,0
62258,4,0,0,0,0,0,4,1,216,2,0,2,0,2,0,1,18
62259,4,0,0,0,0,0,6,1,60,1,2,2,0,2,0,2,0
62261,4,0,0,0,0,0,5,1,240,1,20,2,0,1,20,2,0
62264,4,0,0,0,0,0,3,1,660,2,0,2,0,2,0,2,0
62265,1,44,0,1,84,1,0,1,84,2,0,2,0,1,7,1,7
62266,4,0,0,0,0,0,6,1,360,2,0,1,30,2,0,2,0
62267,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
62269,1,60,0,1,6,2,0,1,72,1,6,2,0,1,6,1,0
62270,1,30,2,1,24,2,0,1,72,2,0,2,0,2,0,1,2
62275,1,50,0,1,36,2,0,2,0,2,0,2,0,2,0,2,0
62277,1,48,0,1,36,2,0,2,0,2,0,2,0,2,0,2,0
62278,4,0,0,0,0,0,3,1,240,2,0,2,0,2,0,2,0
62279,4,0,0,0,0,0,3,1,60,0,0,0,0,0,0,0,0
62280,4,0,0,0,0,0,6,1,264,2,0,2,0,2,0,2,0
62282,1,45,0,3,12,2,0,2,0,2,0,2,0,2,0,2,0
62284,4,0,0,0,0,0,7,1,168,2,0,2,0,2,0,2,0
62285,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
62286,3,0,0,0,0,0,0,1,60,2,0,2,0,2,0,2,0
62287,4,0,0,0,0,0,3,1,144,2,0,2,0,2,0,2,0
62288,1,22,2,1,72,2,0,2,0,2,0,2,0,2,0,2,0
62289,4,0,0,0,0,0,3,1,720,1,65,1,65,1,55,1,55
62291,1,50,0,2,204,2,0,1,252,1,38,1,3,1,21,1,21
62292,4,0,0,0,0,0,3,1,360,0,0,0,0,0,0,0,0
62293,4,0,0,0,0,0,6,1,120,2,0,2,0,1,15,2,0
62295,4,0,0,0,0,0,6,1,180,2,0,2,0,2,0,2,0
62296,1,38,0,1,5,2,0,2,0,1,1,1,1,1,0,2,0
62297,1,40,0,4,120,2,0,2,0,2,0,1,5,1,4,2,0
62301,1,35,0,1,72,2,0,2,0,2,0,2,0,2,0,2,0
62302,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
62303,4,0,0,0,0,0,3,1,72,2,0,2,0,2,0,2,0
62307,4,0,0,0,0,0,6,1,120,2,0,2,0,2,0,2,0
62308,4,0,0,0,0,0,3,1,180,2,0,2,0,2,0,2,0
62309,4,0,0,0,0,0,5,1,72,1,1,2,0,1,7,1,11
62311,4,0,0,0,0,0,7,1,3,2,0,2,0,2,0,2,0
62312,4,0,0,0,0,0,1,1,60,2,0,2,0,2,0,2,0
62314,4,0,0,0,0,0,6,1,144,1,12,2,0,1,12,1,12
62315,4,0,0,0,0,0,3,1,180,0,0,0,0,0,0,0,0
62316,1,32,1,1,48,2,0,2,0,1,20,2,0,1,5,1,10
62317,1,30,1,5,84,2,0,1,180,1,7,1,7,2,0,1,7
62320,4,0,0,0,0,0,3,1,348,2,0,2,0,1,7,2,0
62324,1,40,0,1,60,2,0,2,0,2,0,2,0,2,0,1,25
62325,4,0,0,0,0,0,7,1,120,2,0,2,0,2,0,2,0
62326,1,6,2,5,384,2,0,2,0,2,0,2,0,2,0,2,0
62327,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
62330,1,50,0,3,12,2,0,2,0,2,0,2,0,2,0,1,1
62332,1,5,2,1,4,2,0,2,0,2,0,2,0,2,0,2,0
62333,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
62336,1,50,0,3,336,2,0,2,0,1,3,2,0,2,0,2,0
62339,1,48,0,1,60,2,0,2,0,1,12,1,12,1,12,1,12
62340,1,50,0,1,312,2,0,2,0,2,0,2,0,2,0,2,0
62342,1,40,0,3,84,2,0,1,120,2,0,2,0,2,0,2,0
62343,3,0,0,0,0,0,0,1,24,2,0,2,0,1,2,2,0
62344,1,40,0,1,48,2,0,2,0,2,0,2,0,2,0,2,0
62345,4,0,0,0,0,0,1,1,168,2,0,2,0,2,0,2,0
62346,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
62347,1,40,0,5,4,2,0,1,108,2,0,2,0,2,0,2,0
62348,1,32,2,1,6,2,0,2,0,2,0,2,0,2,0,2,0
62349,4,0,0,0,0,0,2,1,120,2,0,2,0,2,0,2,0
62350,1,40,0,4,17,2,0,1,120,1,0,2,0,2,0,2,0
62353,4,0,0,0,0,0,3,1,444,0,0,0,0,0,0,0,0
62355,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
62357,1,40,0,1,132,2,0,2,0,2,0,2,0,2,0,2,0
62359,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
